"","glbq","suicide","hopeless","fight","rape","bully","ebully","academictrouble"
"783",0,0,1,0,0,0,0,FALSE
"784",0,0,1,0,0,0,0,FALSE
"785",0,0,0,0,0,0,1,FALSE
"787",0,0,0,0,0,1,1,FALSE
"788",0,0,0,0,0,0,1,FALSE
"789",0,0,0,0,0,0,0,FALSE
"790",0,0,0,0,0,0,0,FALSE
"791",0,0,0,0,0,1,0,FALSE
"792",0,0,1,0,0,0,1,FALSE
"793",0,0,0,0,0,0,0,FALSE
"795",0,0,0,0,0,0,0,FALSE
"797",0,0,0,0,0,0,1,FALSE
"798",0,0,1,0,0,0,0,FALSE
"799",0,0,0,0,0,1,0,FALSE
"800",0,0,0,0,0,0,0,FALSE
